Experiment,Batch Size,Data Augmentation,Accuracy,Precision,Recall,F1 Score
asl_noaug_bs16,16,No,0.9257418506066365,0.9261212852504361,0.9257418506066365,0.9253628171054905
asl_noaug_bs64,64,No,0.9181406227159772,0.919884040442866,0.9181406227159772,0.9175679740361905
asl_noaug_bs32,32,No,0.9137552989329045,0.9156359981325781,0.9137552989329045,0.9135868110025765
